freq,mag,phase
3.32000e+002,4.86843e+000,-2.87952e+001
3.33000e+002,4.87446e+000,-2.87228e+001
3.34000e+002,4.88045e+000,-2.86506e+001
3.35000e+002,4.88639e+000,-2.85788e+001
3.36000e+002,4.89228e+000,-2.85074e+001
3.37000e+002,4.89813e+000,-2.84362e+001
3.38000e+002,4.90393e+000,-2.83654e+001
3.39000e+002,4.90969e+000,-2.82949e+001
3.40000e+002,4.91541e+000,-2.82247e+001
3.41000e+002,4.92109e+000,-2.81549e+001
3.42000e+002,4.92672e+000,-2.80854e+001
3.43000e+002,4.93231e+000,-2.80162e+001
3.44000e+002,4.93786e+000,-2.79473e+001
3.45000e+002,4.94337e+000,-2.78787e+001
3.46000e+002,4.94883e+000,-2.78104e+001
3.47000e+002,4.95426e+000,-2.77424e+001
3.48000e+002,4.95965e+000,-2.76748e+001
3.49000e+002,4.96500e+000,-2.76074e+001
3.50000e+002,4.97030e+000,-2.75404e+001
3.51000e+002,4.97557e+000,-2.74736e+001
3.52000e+002,4.98080e+000,-2.74072e+001
3.53000e+002,4.98600e+000,-2.73410e+001
3.54000e+002,4.99115e+000,-2.72752e+001
3.55000e+002,4.99627e+000,-2.72096e+001
3.56000e+002,5.00135e+000,-2.71444e+001
3.57000e+002,5.00639e+000,-2.70794e+001
3.58000e+002,5.01140e+000,-2.70147e+001
3.59000e+002,5.01637e+000,-2.69503e+001
3.60000e+002,5.02130e+000,-2.68862e+001
3.61000e+002,5.02620e+000,-2.68223e+001
3.62000e+002,5.03107e+000,-2.67588e+001
3.63000e+002,5.03590e+000,-2.66955e+001
3.64000e+002,5.04069e+000,-2.66325e+001
3.65000e+002,5.04545e+000,-2.65698e+001
3.66000e+002,5.05018e+000,-2.65074e+001
3.67000e+002,5.05488e+000,-2.64452e+001
3.68000e+002,5.05954e+000,-2.63833e+001
3.69000e+002,5.06416e+000,-2.63217e+001
3.70000e+002,5.06876e+000,-2.62603e+001
3.71000e+002,5.07332e+000,-2.61992e+001
3.72000e+002,5.07785e+000,-2.61384e+001
3.73000e+002,5.08235e+000,-2.60779e+001
3.74000e+002,5.08682e+000,-2.60176e+001
3.75000e+002,5.09126e+000,-2.59575e+001
3.76000e+002,5.09566e+000,-2.58977e+001
3.77000e+002,5.10004e+000,-2.58382e+001
3.78000e+002,5.10438e+000,-2.57790e+001
3.79000e+002,5.10870e+000,-2.57200e+001
3.80000e+002,5.11298e+000,-2.56612e+001
3.81000e+002,5.11724e+000,-2.56027e+001
3.82000e+002,5.12146e+000,-2.55444e+001
3.83000e+002,5.12566e+000,-2.54864e+001
3.84000e+002,5.12983e+000,-2.54287e+001
3.85000e+002,5.13397e+000,-2.53712e+001
3.86000e+002,5.13808e+000,-2.53139e+001
3.87000e+002,5.14216e+000,-2.52569e+001
3.88000e+002,5.14622e+000,-2.52001e+001
